カテゴリ,入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
メカ,2024-10-11,2024-10-15,,EX002890-01,FCマウントクッション,（株）五輪パッキング,1200,,外観,検査基準書 適用型式AC102,西村,外観全数,10,,本社１階,無し,良,
メカ,2024-10-16,2024-10-15,,EX000938,unit housing_1_5,金森産業（株）,230,,外観,検査基準書 適用型式AC101P13,角田,外観全数,60,,本社１階,無し,良（ネジ穴部の成型不具合は手直し済）,
メカ,2024-10-16,2024-10-15,,EX000936,motor cover3,金森産業（株）,230,,外観,検査基準書 適用型式AC101P13,角田,外観全数,60,,本社１階,無し,良,
メカ,2024-10-16,2024-10-18,,EX000935,カバー_cover_4(2),金森産業（株）,330,,外観,検査基準書 適用型式AC101P13,西村,外観全数,25,,本社１階,無し,良,
メカ,2024-10-24,2024-10-29,,EX002842-01,GPS mount (AC102),深沢製作所,280,,外観,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,
メカ,2024-10-24,2024-10-28,,EX000941-11,誘導板 induction plate 6(1),深沢製作所,350,,外観,検査基準書 適用型式AC101P13,西村,外観全数,25,,本社１階,無し,良,
メカ,2024-10-29,2024-10-29,,EX000937-03,撹拌棒/mixing arm,,300,,外観,検査基準書 適用型式AC101P13,西村,外観全数,40,,本社１階,無し,良,
メカ,,2024-10-31,,EX000895,粒剤タンク 13.5L,FAモールディング,150,,外観,検査基準書 適用型式AC101P13,西村西浦,外観全数,80,2,中宗岡倉庫,使用せず,780ｇまではOＫとしたい。穴確認の為４人６０分穴合わせ作業,
メカ,,2024-10-31,,EX000762-04,Liquid　Tank　9L,FAモールディング,50,1,外観,検査基準書 適用型式AC102,西村西浦,外観全数,180,2,中宗岡倉庫,アルミ板フィルター,黒点多し1点、990gは相談,
メカ,2024-10-31,2024-11-05,,EX002547-11,FC Upper Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,
メカ,2024-10-31,2024-11-05,,EX002548-12,FC Lower Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,
メカ,2024-10-31,2024-11-05,,EX002545-11,FC Carrier Upper Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,
メカ,2024-10-31,2024-11-05,,EX002546-11,FC Carrier Lower Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,
